,crime
249,"Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City."
250,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
251,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.
252,A private detective and ex-cop solve crimes in Montana.
253,"This series focuses on the NYPD's Major Case Squad, a force of detectives who investigate high-profile cases, while also showing parts of the crime from the perpetrator's point of view."
254,A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychologist bent on exposing him.
255,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
256,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.
257,"A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss."
258,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
259,"James ""Ghost"" St. Patrick, a wealthy New York nightclub owner who has it all; dreaming big, catering to the city's elite, and living a double life as a drug kingpin."
260,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay."
261,FBI agents who graduated from Quantico in 2009 are reunited following the death of a mutual friend.
262,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
263,The lives and relationships of a group of siblings and their estranged father Frank Gallagher on a rough Manchester estate.
264,"A teenager is charged with lying about being raped, but two detectives follow the path to the truth."
265,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
266,"Five Vermont state troopers, avid pranksters with a knack for screwing up, try to save their jobs and out-do the local police department by solving a crime."
267,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.
268,"Parthiban is a mild-mannered cafe owner in Kashmir, who fends off a gang of murderous thugs and gains attention from a drug cartel claiming he was once a part of them."
269,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch."
270,The untold true story of the legendary detectives who brought down Bonnie and Clyde.
271,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
272,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
273,Three suburban mothers suddenly find themselves in desperate circumstances and decide to stop playing it safe and risk everything to take back their power.
274,"The missions of MI-5, the UK's domestic intelligence organization."
275,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.
276,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
277,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
278,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results."
279,Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in an underpass tunnel.
280,"When three working-class teenagers begin attending an exclusive private school in Spain, the clash between them and the wealthy students leads to murder."
281,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.
282,"London detectives investigate crimes from the past, unravelling secrets left buried for years."
283,"Charlie Swift is a fixer with a problem: the thug he's whacked is missing his head and Charlie will only be paid if the body can be identified. Enter Marcie Kramer, the victim's ex-wife and a woman with all the skills Charlie needs."
284,Drama series following the lives and cases of dirty cop Vic Mackey and the corrupt LAPD unit under his command.
285,"John Luther is a brilliant homicide detective with a knack for getting inside the minds of murderers. Unfortunately, his unconventional methods and personal demons put him at odds with his team."
286,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire."
287,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
288,A journey of curious tensions and bonds between two and at times three interesting characters all on their own path.
289,"After her best friend is murdered, and her father is removed as county Sheriff, Veronica Mars dedicates her life to cracking the toughest mysteries in the affluent town of Neptune."
290,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
291,"In 1862, Amsterdam Vallon returns to the Five Points area of New York City seeking revenge against Bill the Butcher, his father's killer."
292,Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.
293,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds."
294,Baltimore. New Year's Eve. A talented but troubled police officer (Shailene Woodley) is recruited by the FBI's chief investigator (Ben Mendelsohn) to help profile and track down a disturbed individual terrorizing the city.
295,"A prisoner on death row in the US and a woman trapped in a cellar under an English vicarage, cross paths in the most unexpected way."
296,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
297,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
298,After aging criminal Roy Earle is released from prison he decides to pull one last heist before retiring - by robbing a resort hotel.
299,Detective Jane Rizzoli and Chief Medical Examiner Dr. Maura Isles team up to solve crimes in Boston.
300,"Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities."
301,A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.
302,A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.
303,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption."
304,A drug lady that rules a tigh house and will kill or have someone slaughtered without getting her hands dirty.
305,"1969. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be."
306,An anthology series centered around America's most notorious crimes and criminals.
307,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
308,"Walt Longmire is the dedicated and unflappable sheriff of Absaroka County, Wyoming. Widowed only a year, he is a man in psychic repair but buries his pain behind his brave face, unassuming grin and dry wit."
309,"A group of Iraq War veterans look to clear their name with the U.S. Military, who suspect the four men of committing a crime for which they were framed."
310,A cold and mysterious character working at a cash truck company responsible for moving a lot of money around Los Angeles each week.
311,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire."
312,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder."
313,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
314,"After a heist, the crew have gone their separate ways, but now, they are being targeted by a killer one-by-one."
315,Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated.
316,"Ben Matlock is a very expensive criminal defense attorney, who charges one hundred thousand dollars to take a case. Fortunately, he's worth every penny, as he and his associates defend his clients by finding the real killer."
317,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.
318,"Erin Carter, a British teacher in Spain, finds herself caught up in a supermarket robbery. When one of the robbers claims to recognize her, her life threatens to unravel."
319,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite."
320,"Cordell Walker and his partner, James Trivette, are Texas Rangers. They make it their business to battle crime in Dallas and all around the state of Texas."
321,A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.
322,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.
323,"In Detroit, a pop culture nerd steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple."
324,"Set in a post-Jax Teller world, ""Mayans MC"" sees EZ Reyes, a former golden boy now fresh out of prison, as a prospect in the Mayan MC charter on the California-Mexico border who must carve out his new outlaw identity."
325,A series of brutal murders in Boston sparks a seemingly endless and increasingly complex manhunt.
326,Newly-paroled ex-con and former U.S. Ranger Cameron Poe finds himself trapped in a prisoner-transport plane when the passengers seize control.
327,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.
328,DI Robert Lewis and DS James Hathaway solve the tough cases that the learned inhabitants of Oxford throw at them.
329,"When Diane Lockhart's life savings are lost, she must start from scratch at a new firm."
330,Plot under wraps
331,Follows a lawyer at the CIA who gets entangled in dangerous international power politics when a former asset threatens to expose the nature of her long-term relationship with the agency.
332,Elite agents of the FBI's International division travel the world with the mission of protecting Americans wherever they may be.
333,A judge confronts his convictions when his son is involved in a hit-and-run that embroils an organized-crime family.
334,"A devoted husband and father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse."
335,"Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned."
336,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe."
337,A feminist noir comedy set against a bucolic backdrop with a rising body count.
338,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
339,"Special Agent Will Trent was abandoned at birth and endured a harsh coming-of-age in Atlanta's overwhelmed foster care system. Determined to make sure no one feels as he did, he now has the highest clearance rate."
340,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder."
341,"Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price."
342,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia."
343,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle."
344,The night manager of a Cairo hotel is recruited to infiltrate an arms dealer's inner circle.
345,"Robert De Niro and Chazz Palminteri give captivating performances in this intense drama about a boy torn between his tough, hard-working father and a violent yet charismatic crime boss."
346,Two grifters team up to pull off the ultimate con.
347,"After a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
348,"To avoid prison, a gang of notorious animal criminals pretends to seek being rehabilitated, only for their leader to realize that he genuinely wants to change his ways."
349,"Ray Donovan, a professional ""fixer"" for the rich and famous in Los Angeles, can make anyone's problems disappear except those created by his own family."
350,"When a high school reunion's afterparty ends in a death, everyone is a suspect. A detective grills the former classmates one by one, uncovering potential motives as each tells their version of the story - culminating in the shocking truth."
351,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
352,Follow a team of Naval criminal investigators who operate on the Hawaiian islands.
353,Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name while on the run as a fugitive from the law.
354,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."
355,"When a suburban mother turns to dealing marijuana in order to maintain her privileged lifestyle after her husband dies, she finds out just how addicted her entire neighborhood already is."
356,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
357,A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.
358,"Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own."
359,"A gangster named Bumpy Johnson makes his way in Harlem during the 1960s. A TV prequel to the 2007 film, 'American Gangster', which centered on the criminal enterprise of Frank Lucas."
360,"A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord."
361,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable and dangerous weapon.
362,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects."
363,"-Resplendent with authentic 1980s music, fashion, and vibe, ""Miami Vice"" follows two undercover detectives and their extended team through the mean streets of Miami, Florida."
364,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
365,"Guillaume thought he had drawn a line under the terrible tragedy which saw the two people he loved the most die. Ten years later, Judith, whose love has made his life worth living again, suddenly disappears during his mother's funeral."
366,"Go behind the headlines to explore the strangest mass kidnapping in history, with exclusive interviews from those who lived through it."
367,Follows the cases of the Miami-Dade Police Department's Crime Scene Investigation unit as they try to unveil the conditions behind mysterious deaths and crimes.
368,Forensic scientists and investigators of the New York City Police Department unveil the circumstances behind mysterious and unusual deaths.
369,A Cambodian-Filipino doctor comes to the U.S. for a medical treatment to save her son but when the system fails she uses her cunning and intelligence to save her son.
370,"Kyle and Swin live by the orders of an Arkansas-based drug kingpin named Frog, whom they've never met. But when a deal goes horribly wrong, the consequences are deadly."
371,"Detective Inspector Mike Shepherd arrives on assignment in Brokenwood, a small town where memories - and animosities - run deep."
372,A live-action prequel feature film following a young Cruella de Vil.
373,"After a prank goes disastrously wrong, a group of boys are sent to a detention center where they are brutalized. Thirteen years later, an unexpected random encounter with a former guard gives them a chance for revenge."
374,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.
375,A stripper named Zola embarks on a wild road trip to Florida.
376,Autistic archivist Astrid Nielsen and impulsive inspector Raphaëlle Coste work together to solve crimes in and around Paris.
377,"Cameras follow Bedfordshire Police over a 24 hour period as they respond to emergencies, investigate crimes, arrest suspects and battle against the clock."
378,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
379,"Series based on Elmore Leonard's novel ""City Primeval: High Noon in Detroit."""
380,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
381,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities."
382,An elderly spinster living in the village of St. Mary Mead helps her friends and relatives solve mysterious murders.
383,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
384,"Follows Leaphorn and Chee, two Navajo police officers in the 1970s Southwest that are forced to challenge their own spiritual beliefs when they search for clues in a double murder case."
385,"A human detective and a fairy rekindle a dangerous affair in a Victorian fantasy world, where the city's uneasy peace collapses when a string of murders reveals an unimaginable monster."
386,A desperate cat and mouse hunt ensues when Yorkshire is being haunted by a serial killer.
387,Detectives from NYPD's 15th Precinct investigate homicides within their precinct.
388,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
389,"Follows an NCIS team that investigates criminal cases involving military personnel in The Big Easy, a city known for its music, entertainment, and decadence."
390,"A cold case turns topical again and turns everything upside down, intertwining the lives of several people."
391,"Witness the making of Tony Soprano. The story that reveals the humanity behind Tony's struggles and the influence his family - especially his uncle, Dickie Moltisanti - had over him becoming the most iconic mob boss of all time."
392,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."
393,"A motorcycle stunt rider turns to robbing banks as a way to provide for his ex and their newborn, a decision that sets him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
394,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up."
395,The adventures of a Hawaii-based private investigator.
396,"A Dutch detective of Afghan descent, Mardik gets the information stating that his childhood friend Faysal is in the Netherlands. When a terrorist attack occurs the next day, Mardik suspects Faysal and starts to investigate on own behalf."
397,"Two men who meet on a bus strike up a conversation that turns into friendship. For Henry Teague, worn down by a lifetime of physical labour and crime, this is a dream come true."
398,"A skeptical clinical psychologist joins a priest-in-training and a blue collar contractor as they investigate supposed abnormal events, including, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural's at work."
399,"Two best friends set out on an adventure, but it soon turns around to a terrifying escape from being hunted by the police, as these two girls escape for the crimes they committed."
400,"Set in the world of beautiful but bleak Cape Cod, one woman's journey to sobriety is overshadowed by a murder investigation dragging her into its fold."
401,"Lexie Noble becomes entangled in a police operation to topple a notorious crime lord, Cal Morris."
402,Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.
403,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City."
404,"The causes and consequences of America's opioid epidemic unfold in this drama following its perpetrators, victims and an investigator seeking the truth."
405,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
406,"In five episodes, failed architect and vicious sociopath Jack recounts his elaborately orchestrated murders -- each, as he views them, a towering work of art that defines his life's work as a serial killer in the Pacific Northwest."
407,"Families, friends, enemies, and lovers experience life-changing events in the large upstate city of Port Charles, New York, which has a busy hospital, upscale hotel, cozy diner, and dangerous waterfront frequented by the criminal underworld."
408,"A widowed father returns to Austin after one year, attempting to reconnect with his children, navigate clashes with his family, and find common ground with his new partner, while growing increasingly suspicious of his wife's death."
409,Plot unknown. Fourth installment of the 'Bad Boys' film series.
410,"Drama series inspired by true events surrounding the 1983 Brink's-Mat robbery, and the remarkable story that followed."
411,"Brutal gangster Don Logan recruits ""retired"" safecracker Gal for one last job, but it goes badly for both of them."
412,"Brilliant, brash, and charming, Dr. Bull is the ultimate puppet master as he combines psychology, human intuition, and high-tech data to learn what makes jurors, attorneys, witnesses, and the accused tick."
413,"In 1977 New York City, a troubled young Jewish man bent on revenge is taken in by a secret group of Nazi hunters fighting a clandestine war against a cell of high-ranking Nazi officials in hiding who work to create the Fourth Reich."
414,Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France.
415,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father."
416,A man diagnosed with Alzheimer's decides to punish criminals.
417,Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's annual Met Gala.
418,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
419,"Under orders from a ruthless crime boss, a getaway driver must battle his conscience and drive an unsuspecting crew member to an ambush execution. There is a long drive ahead."
420,"In Canton, Mississippi, a fearless young lawyer and his assistant defend a black man accused of murdering two white men who raped his ten-year-old daughter, inciting violent retribution and revenge from the Ku Klux Klan."
421,"Detective Charlie Hudson teams up with what he calls his ""highly trained law enforcement animal"" German Shepherd dog named Rex who he prefers to team up with because he doesn't talk his ear off."
422,"In 1991, a sheltered teenage boy comes of age during a wild summer he spends on Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in over his head."
423,Follows Tommy Egan after he cuts ties and puts New York in his rearview mirror for good.
424,"A proficient group of thieves rob a bank and hold Claire, the assistant manager, hostage. Things begin to get complicated when one of the crew members falls in love with Claire."
425,"A New York City architect becomes a one-man vigilante squad after his wife is murdered by street punks. In self-defense, the vengeful man kills muggers on the mean streets after dark."
426,"Transporter Frank Martin, surfaces in Miami, Florida and is implicated in the kidnapping of the young son of a powerful USA official."
427,"A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws."
428,Two robbers steal an ambulance after their heist goes awry.
429,"When a renowned private investigator is murdered, his protege takes on the case. As her investigation unfolds, she is forced into a dangerous alliance with his killer to uncover the town's grisly secrets and bring justice to its victims."
430,"Ron Stallworth, an African American police officer from Colorado Springs, Colorado, successfully infiltrates the local Ku Klux Klan branch aided by a Jewish surrogate who eventually becomes its leader. Based on actual events."
431,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention."
432,Detective Axel Foley finds himself drawn back to the opulent environs of Beverly Hills to investigate the untimely demise of a long-time confidant.
433,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.
434,"The rise and fall of Harshad Mehta, a stockbroker who single-handedly took the stock market to great heights, is depicted."
435,"A modern twist to a classical ""whodunnit"" tale, when the life of a wealthy New York therapist turns upside down after she and her family get involved with a murder case."
436,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
437,Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.
438,Tells the story of a psychopathic killer who drives a stolen Mercedes into a crowd and a recently retired detective who tries to bring him down.
439,"When an Edinburgh schoolgirl is abducted, DI Ray Lennox investigates her disappearance whilst confronting his own past trauma."
440,An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.
441,"The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro."
442,"This 10-episode, one-hour drama follows a group of flawed family members who reluctantly work together at their father's law firm in downtown Vancouver."
443,"After a botched bank robbery lands his younger brother in prison, Connie Nikas embarks on a twisted odyssey through New York City's underworld to get his brother Nick out of jail."
444,"About Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to expose the truth behind the lies."
445,"Ten years after faking his death in Miami and moving to Upstate New York under an assumed name, Dexter gets an unexpected visit from the son he abandoned."
446,An eccentric genius forms an international network of super-geniuses to act as the last line of defense against the complicated threats of the modern world.
447,Colter Shaw travels the country in his old-school RV to help police and private citizens solve crimes and locate missing persons until his latest case changes everything.
448,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk."
449,The rise of the Guadalajara Cartel as an American DEA agent learns the danger of targeting narcos in Mexico.
450,"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally."
451,A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.
452,A successful cocaine dealer gets two tough assignments from his boss on the eve of his planned early retirement.
453,"Living in exile, Dr. Hannibal Lecter tries to reconnect with now disgraced F.B.I. Agent Clarice Starling, and finds himself a target for revenge from a powerful victim."
454,"After splitting with the Joker, Harley Quinn joins superheroines Black Canary, Huntress, and Renee Montoya to save a young girl from an evil crime lord."
455,"When a young man goes missing soon after his friend dies, life in a tight-knit, affluent Warsaw suburb slowly unravels, exposing secrets and lies."
456,"Loosely based on the true story of two young men, David Packouz and Efraim Diveroli, who won a three hundred million dollar contract from the Pentagon to arm America's allies in Afghanistan."
457,"To foil a terrorist plot, FBI agent Sean Archer assumes the identity of the criminal Castor Troy who murdered his son through facial transplant surgery, but the crook wakes up prematurely and vows revenge."
458,"After the Kingsman's headquarters is destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy."
459,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
460,"Deputy Police Chief Brenda Johnson runs the Priority Homicide Division of the LAPD with an unorthodox style. Her innate ability to read people and obtain confessions helps her and her team solve the city's toughest, most sensitive cases."
461,"Dr. Kenzo Tenma, an elite neurosurgeon, finds his life in utter turmoil after following his conscience to operate on a small boy named Johan."
462,A young man is bestowed with incredible martial arts skills and a mystical force known as the Iron Fist.
463,"The real life case of Jolly Joseph, a lady suspected of planning the cyanide poisoning of six family members over more than ten years, including a two-year-old kid."
464,The Caped Crusader and his young ward battle evildoers in Gotham City.
465,Jane Doe is found in Times Square with no memory and mysterious tattoos on her body.
466,"The cases of Harmon Rabb, former Navy fighter pilot, and his fellow lawyers of the U.S. Navy's Judge Advocate General's office."
467,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him."
468,"Colognian commissioner Gereon Rath moves to Berlin, the epicenter of political and social changes in the Golden Twenties."
469,"Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation."
470,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered."
471,Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.
472,"Special Agent Simone Clark, the oldest rookie in the FBI Academy, is assigned to support the LA field office."
473,"A medical resident finds that being a zombie has its perks, which she uses to assist the police."
474,"The investigations of Sister Boniface of St Vincent's Convent - nun, moped rider, wine maker and part-time forensic scientist."
475,A mysterious woman's escape from her harrowing captivity points investigators toward the dark truth behind an unsolved disappearance 13 years earlier.
476,A group of supervillains are recruited to go on missions for the government.
477,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
478,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped."
479,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
480,"Three retired police officers are drafted in to solve cold cases, with a touch of comedy and drama"
481,"An F.B.I. Agent persuades a social worker, who is adept with a new experimental technology, to enter the mind of a comatose serial killer in order to learn where he has hidden his latest kidnap victim."
482,Teenage hackers discover a criminal conspiracy with plans to use a computer virus that will capsize five oil tankers.
483,"Drama series following Lana Washington, an experienced bomb disposal officer working for the Metropolitan Police."
484,A crooked legal guardian who drains the savings of her elderly wards meets her match when a woman she tries to swindle turns out to be more than she first appears.
485,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.
486,"A boy, bruised by life, finds his salvation through the love of his dogs."
487,A crew of high-tech crooks attempt to steal from wealthy criminals and corrupt businessmen.
488,A devout detective's faith is tested as he investigates a brutal murder seemingly connected to an esteemed Utah family's spiral into LDS fundamentalism and their distrust in the government.
489,"Eric is a prison officer who tries to protect those in his charge. When one of the most dangerous inmates identifies his weakness, Eric faces an impossible choice between his principles and his love for his family."
490,"Boston Legal is a spin-off of the long-running David E. Kelley series The Practice (1997), following the exploits of former Practice character Alan Shore (James Spader) at the legal firm of Crane, Poole, and Schmidt."
491,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him."
492,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city."
493,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.
494,"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop."
495,"Four Vietnam vets, framed for a crime they didn't commit, help the innocent while on the run from the military."
496,"Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life."
497,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
498,"The cases and adventures of the police forces in and around Sparta, Mississippi."
499,"In booming 1932 Los Angeles, a down-and-out defense attorney takes on the case of a lifetime."
500,"Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City."
501,Plot kept under wraps.
502,Retired CIA agent Frank Moses reunites his unlikely team of elite operatives for a global quest to track down a missing portable nuclear device.
503,"A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him."
504,"When an ex-cop returns to his home state of Florida to find a mobster's runaway girlfriend, what should've been a quick gig turns into a wild odyssey."
505,"Following Chief Inspector Armand Gamache as he investigates cases beneath the idyllic surface of the Quebec village, Three Pines, finding long-buried secrets and facing a few ghosts of his own."
